alligator,NONSHIFTER
alliterate,NONSHIFTER
allocate,NONSHIFTER
allot,NONSHIFTER
allow,NONSHIFTER
allow_for,NONSHIFTER
allow_in,NONSHIFTER
allowance,NONSHIFTER
alloy,NONSHIFTER
allude,NONSHIFTER
allure,NONSHIFTER
ally,NONSHIFTER
ally_with,NONSHIFTER
alphabetise,NONSHIFTER
alphabetize,NONSHIFTER
alter,NONSHIFTER
altercate,NONSHIFTER
alternate,NONSHIFTER
aluminise,NONSHIFTER
aluminize,NONSHIFTER
amalgamate,NONSHIFTER
amass,NONSHIFTER
amaze,NONSHIFTER
ambition,NONSHIFTER
amble,NONSHIFTER
ambulate,NONSHIFTER
ambuscade,NONSHIFTER
ambush,NONSHIFTER
ameliorate,SHIFTER
amend,SHIFTER
amerce,NONSHIFTER
americanise,NONSHIFTER
americanize,NONSHIFTER
ammoniate,NONSHIFTER
ammonify,NONSHIFTER
amnesty,NONSHIFTER
amortise,NONSHIFTER
amortize,NONSHIFTER
amount,NONSHIFTER
amplify,NONSHIFTER
amputate,SHIFTER
amuse,NONSHIFTER
anaesthetise,NONSHIFTER
anaesthetize,NONSHIFTER
anagram,NONSHIFTER
anagrammatise,NONSHIFTER
anagrammatize,NONSHIFTER
analogise,NONSHIFTER
analogize,NONSHIFTER
analyse,NONSHIFTER
analyze,NONSHIFTER
anastomose,NONSHIFTER
anathematise,NONSHIFTER
anathematize,NONSHIFTER
anathemise,NONSHIFTER
anathemize,NONSHIFTER
anatomise,NONSHIFTER
anatomize,NONSHIFTER
anchor,NONSHIFTER
ancylose,NONSHIFTER
anele,NONSHIFTER
anesthetise,NONSHIFTER
anesthetize,NONSHIFTER
anger,NONSHIFTER
angle,NONSHIFTER
angle-park,NONSHIFTER
anglicise,NONSHIFTER
anglicize,NONSHIFTER
anguish,NONSHIFTER
angulate,NONSHIFTER
animadvert,NONSHIFTER
animalise,NONSHIFTER
animalize,NONSHIFTER
animate,NONSHIFTER
animise,NONSHIFTER
animize,NONSHIFTER
ankylose,NONSHIFTER
anneal,NONSHIFTER
annex,NONSHIFTER
annihilate,SHIFTER
annotate,NONSHIFTER
announce,NONSHIFTER
annoy,NONSHIFTER
annul,SHIFTER
annunciate,NONSHIFTER
anodise,NONSHIFTER
anodize,NONSHIFTER
anoint,NONSHIFTER
answer,NONSHIFTER
answer_for,NONSHIFTER
antagonise,SHIFTER
antagonize,SHIFTER
ante,NONSHIFTER
ante_up,NONSHIFTER
antecede,NONSHIFTER
antedate,NONSHIFTER
anthologise,NONSHIFTER
anthologize,NONSHIFTER
anthropomorphise,NONSHIFTER
anthropomorphize,NONSHIFTER
antic,NONSHIFTER
anticipate,NONSHIFTER
antiquate,NONSHIFTER
antique,NONSHIFTER
antisepticize,NONSHIFTER
ape,NONSHIFTER
aphorise,NONSHIFTER
aphorize,NONSHIFTER
apologise,NONSHIFTER
apologize,NONSHIFTER
apostatise,NONSHIFTER
apostatize,NONSHIFTER
apostrophise,NONSHIFTER
apostrophize,NONSHIFTER
apotheose,NONSHIFTER
apotheosise,NONSHIFTER
apotheosize,NONSHIFTER
appal,NONSHIFTER
appall,NONSHIFTER
apparel,NONSHIFTER
appeal,NONSHIFTER
appear,NONSHIFTER
appease,SHIFTER
append,NONSHIFTER
apperceive,NONSHIFTER
appertain,NONSHIFTER
applaud,NONSHIFTER
applique,NONSHIFTER
apply,NONSHIFTER
appoint,NONSHIFTER
apportion,NONSHIFTER
appose,NONSHIFTER
appraise,NONSHIFTER
appreciate,NONSHIFTER
apprehend,NONSHIFTER
apprentice,NONSHIFTER
apprise,NONSHIFTER
apprize,NONSHIFTER
approach,NONSHIFTER
approbate,NONSHIFTER
appropriate,NONSHIFTER
approve,NONSHIFTER
approximate,NONSHIFTER
aquaplane,NONSHIFTER
aquatint,NONSHIFTER
arbitrage,NONSHIFTER
arbitrate,NONSHIFTER
arborise,NONSHIFTER
arborize,NONSHIFTER
arc,NONSHIFTER
arch,NONSHIFTER
arch_over,NONSHIFTER
archaise,NONSHIFTER
archaize,NONSHIFTER
archive,NONSHIFTER
argue,NONSHIFTER
argufy,NONSHIFTER
arise,NONSHIFTER
arm,NONSHIFTER
armor,NONSHIFTER
armour,NONSHIFTER
aromatise,NONSHIFTER
aromatize,NONSHIFTER
arouse,NONSHIFTER
arraign,NONSHIFTER
arrange,NONSHIFTER
array,NONSHIFTER
arrest,SHIFTER
arrive,NONSHIFTER
arrogate,NONSHIFTER
arse_about,NONSHIFTER
arse_around,NONSHIFTER
arterialise,NONSHIFTER
arterialize,NONSHIFTER
article,NONSHIFTER
articulate,NONSHIFTER
ascend,NONSHIFTER
ascertain,NONSHIFTER
ascribe,NONSHIFTER
ash,NONSHIFTER
ask,NONSHIFTER
ask_for,NONSHIFTER
ask_in,NONSHIFTER
ask_out,NONSHIFTER
ask_over,NONSHIFTER
asperse,NONSHIFTER
asphalt,NONSHIFTER
asphyxiate,NONSHIFTER
aspirate,NONSHIFTER
aspire,NONSHIFTER
assail,NONSHIFTER
assassinate,NONSHIFTER
assault,NONSHIFTER
assay,NONSHIFTER
assemble,NONSHIFTER
assent,NONSHIFTER
assert,NONSHIFTER
assess,NONSHIFTER
asseverate,NONSHIFTER
assibilate,NONSHIFTER
assign,NONSHIFTER
assimilate,NONSHIFTER
assist,NONSHIFTER
associate,NONSHIFTER
assoil,SHIFTER
assonate,NONSHIFTER
assort,NONSHIFTER
assuage,SHIFTER
assume,NONSHIFTER
assure,NONSHIFTER
asterisk,NONSHIFTER
astonish,NONSHIFTER
astound,NONSHIFTER
astringe,NONSHIFTER
astrogate,NONSHIFTER
atom-bomb,NONSHIFTER
atomise,NONSHIFTER
atomize,NONSHIFTER
atone,SHIFTER
atrophy,SHIFTER
attach,NONSHIFTER
attack,SHIFTER
attain,NONSHIFTER
attaint,NONSHIFTER
attemper,NONSHIFTER
attempt,NONSHIFTER
attend,NONSHIFTER
attenuate,SHIFTER
attest,NONSHIFTER
