00001740,NONSHIFTER
00002325,NONSHIFTER
00002573,NONSHIFTER
00002724,NONSHIFTER
00002942,NONSHIFTER
00003133,NONSHIFTER
00003316,NONSHIFTER
00003443,NONSHIFTER
00003662,NONSHIFTER
00003826,NONSHIFTER
00004032,NONSHIFTER
00004227,NONSHIFTER
00004492,NONSHIFTER
00004605,NONSHIFTER
00004819,NONSHIFTER
00005041,NONSHIFTER
00005526,NONSHIFTER
00005815,NONSHIFTER
00006100,NONSHIFTER
00006238,NONSHIFTER
00006523,NONSHIFTER
00006697,NONSHIFTER
00006802,NONSHIFTER
00007012,NONSHIFTER
00007193,NONSHIFTER
00007328,NONSHIFTER
00007549,NONSHIFTER
00007739,NONSHIFTER
00008055,NONSHIFTER
00008195,NONSHIFTER
00008299,NONSHIFTER
00008435,NONSHIFTER
00008595,NONSHIFTER
00008792,NONSHIFTER
00008970,NONSHIFTER
00009140,NONSHIFTER
00009485,NONSHIFTER
00009624,NONSHIFTER
00009877,NONSHIFTER
00010428,NONSHIFTER
00011544,NONSHIFTER
00011691,NONSHIFTER
00011845,NONSHIFTER
00011975,NONSHIFTER
00012130,NONSHIFTER
00012260,NONSHIFTER
00012427,NONSHIFTER
00012606,NONSHIFTER
00012746,NONSHIFTER
00012847,NONSHIFTER
00012937,NONSHIFTER
00013165,SHIFTER
00013321,NONSHIFTER
00013608,NONSHIFTER
00013851,NONSHIFTER
00014027,NONSHIFTER
00014194,NONSHIFTER
00014398,NONSHIFTER
00014542,NONSHIFTER
00014735,NONSHIFTER
00015156,NONSHIFTER
00015296,NONSHIFTER
00015491,NONSHIFTER
00015706,NONSHIFTER
00015799,NONSHIFTER
00015939,NONSHIFTER
00016176,NONSHIFTER
00016373,NONSHIFTER
00016566,NONSHIFTER
00016695,NONSHIFTER
00016848,NONSHIFTER
00017024,NONSHIFTER
00017275,NONSHIFTER
00017524,NONSHIFTER
00017667,NONSHIFTER
00017858,NONSHIFTER
00018151,NONSHIFTER
00018398,NONSHIFTER
00018519,NONSHIFTER
00018806,NONSHIFTER
00019175,NONSHIFTER
00019441,NONSHIFTER
00019785,SHIFTER
00019975,NONSHIFTER
00020126,NONSHIFTER
00020252,NONSHIFTER
00020442,NONSHIFTER
00020664,NONSHIFTER
00020919,NONSHIFTER
00021058,NONSHIFTER
00021547,NONSHIFTER
00021672,NONSHIFTER
00021819,NONSHIFTER
00021990,NONSHIFTER
00022092,NONSHIFTER
00022309,SHIFTER
00022679,NONSHIFTER
00023237,NONSHIFTER
00023373,NONSHIFTER
00023466,NONSHIFTER
00023639,NONSHIFTER
00023861,NONSHIFTER
00024040,NONSHIFTER
00024272,NONSHIFTER
00024642,NONSHIFTER
00024807,NONSHIFTER
00025027,NONSHIFTER
00025196,NONSHIFTER
00025503,NONSHIFTER
00025647,NONSHIFTER
00025978,NONSHIFTER
00026146,NONSHIFTER
00026378,NONSHIFTER
00026727,NONSHIFTER
00026934,NONSHIFTER
00027057,NONSHIFTER
00027261,NONSHIFTER
00027563,NONSHIFTER
00027698,NONSHIFTER
00028003,NONSHIFTER
00028160,NONSHIFTER
00028355,NONSHIFTER
00028558,NONSHIFTER
00028869,NONSHIFTER
00029018,NONSHIFTER
00029207,NONSHIFTER
00029329,NONSHIFTER
00029511,NONSHIFTER
00029623,NONSHIFTER
00029735,NONSHIFTER
00029829,NONSHIFTER
00030003,NONSHIFTER
00030135,NONSHIFTER
00030359,NONSHIFTER
00030456,SHIFTER
00030640,SHIFTER
00031061,NONSHIFTER
00031174,NONSHIFTER
00031270,NONSHIFTER
00031411,NONSHIFTER
00031533,NONSHIFTER
00031656,NONSHIFTER
00031813,NONSHIFTER
00032290,NONSHIFTER
00032407,NONSHIFTER
00032532,NONSHIFTER
00032771,NONSHIFTER
00032974,NONSHIFTER
00033196,NONSHIFTER
00033399,NONSHIFTER
00033592,NONSHIFTER
00033845,NONSHIFTER
00033948,NONSHIFTER
00034108,NONSHIFTER
00034281,NONSHIFTER
00034627,NONSHIFTER
00034751,NONSHIFTER
00034941,NONSHIFTER
00035082,NONSHIFTER
00035252,NONSHIFTER
00035441,NONSHIFTER
00035596,NONSHIFTER
00035769,NONSHIFTER
00036171,NONSHIFTER
00036355,NONSHIFTER
00036678,NONSHIFTER
00036773,NONSHIFTER
